Item	Trial Type	Post Trial	Timing	Procedure Notes	Shuffle
127	FreeRecall	No	User	What is the hereditary disease that is caused by a deficiency of a substance in the blood that aids in clotting? List candidate answers in the order that they come to mind. 	OFF
128	TestVertical	No	User	Candidate Choice	OFF
129	TestVertical	No	User	Confidence Rating	OFF
130	TestVertical	No	User	Submit?	OFF
131	FreeRecall	No	User	What is the name of the large bone in the upper arm? List candidate answers in the order that they come to mind. 	OFF
132	TestVertical	No	User	Candidate Choice	OFF
133	TestVertical	No	User	Confidence Rating	OFF
134	TestVertical	No	User	Submit?	OFF
135	FreeRecall	No	User	Ginger comes from what part of a plant? List candidate answers in the order that they come to mind. 	OFF
136	TestVertical	No	User	Candidate Choice	OFF
137	TestVertical	No	User	Confidence Rating	OFF
138	TestVertical	No	User	Submit?	OFF
139	Passage	No	user	Review with alternatives 	OFF
